tweet_id,in_reply_to_status_id,in_reply_to_user_id,source,text,expanded_urls,rating_numerator,rating_denominator,name,stage,Date,Time,retweet_count,favorite_count,breed,breed_confedance,Dog_type
892420643555336193,0,0,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,NoneNoneNoneNone,2017-08-01,16:23:56,8853,39467,Algorithm_1,0.465074,Welsh_springer_spaniel
892177421306343426,0,0,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,NoneNoneNoneNone,2017-08-01,00:17:27,6514,33819,Algorithm_1,0.506826,redbone
891815181378084864,0,0,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,NoneNoneNoneNone,2017-07-31,00:18:03,4328,25461,Algorithm_1,0.596461,German_shepherd
891689557279858688,0,0,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,NoneNoneNoneNone,2017-07-30,15:58:51,8964,42908,Algorithm_1,0.408143,Rhodesian_ridgeback
891327558926688256,0,0,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,NoneNoneNoneNone,2017-07-29,16:00:24,9774,41048,Algorithm_1,0.560311,miniature_pinscher
891087950875897856,0,0,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,None,NoneNoneNoneNone,2017-07-29,00:08:17,3261,20562,Algorithm_1,0.651137,Bernese_mountain_dog
890971913173991426,0,0,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,NoneNoneNoneNone,2017-07-28,16:27:12,2158,12041,Algorithm_1,0.933012,box_turtle
890729181411237888,0,0,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,None,NoneNoneNoneNone,2017-07-28,00:22:40,16716,56848,Algorithm_1,0.692517,chow
890609185150312448,0,0,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,NoneNoneNoneNone,2017-07-27,16:25:51,4429,28226,Algorithm_3,0.00795896,golden_retriever
890240255349198849,0,0,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,doggoNoneNoneNone,2017-07-26,15:59:51,7711,32467,Algorithm_1,0.201493,miniature_poodle
890006608113172480,0,0,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,Koda,NoneNoneNoneNone,2017-07-26,00:31:25,7624,31166,Algorithm_1,0.77593,golden_retriever
889880896479866881,0,0,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13,10,Bruno,NoneNoneNoneNone,2017-07-25,16:11:53,5156,28268,Algorithm_1,0.503672,Gordon_setter
889665388333682689,0,0,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13,10,None,NoneNoneNonepuppo,2017-07-25,01:55:32,8538,38818,Algorithm_1,0.260857,Walker_hound
